Job Name,Count
"['chapelier', 'la brune,,rue']",1
['chapelier'],1
['chargeur à lavoirie'],1
['charpent'],1
"['charpentier', ', 41.']",1
"['charpentier', 'épicerie,mercerie']",1
"['charretier', 'm. porchet']",1
['chaudronni'],1
['chauff. d’auto'],1
['chauff.'],1
['chauff.a.l.'],1
['chauff.au gaz'],1
"['chauffage etventilation,']",1
['chauffeur auto'],1
['chauffeur-livreur'],1
['chef compt.'],1
['chef céramique'],1
['chef de bur.cff'],1
['chef de gare gff.retr..'],1
['chef de pensionnat de demois'],1
['chef de servicepolice administr'],1
['chef de silo'],1
['chef démarcheuse'],1
"['chef d’équipett,']",1
['chefde cuisine'],1
['chiffonnier'],1
"['cie,', 'entrepreneurs']",1
['clos des alpes'],1
"['cocher', '-gibert']",1
['coi it'],1
"['coiffeur', '. chaucrau.']",1
['collaborât.'],1
['comm. dethés et épices'],1
['commerc.'],1
['commerce decuirs (tanneries'],1
['commerçante'],1
['commis de magasin'],1
['commis doposte'],1
"['commis', 'm. pacbe']",1
"['commis,', 'rose mousse']",1
"['commispostal,']",1
['commiss'],1
['commission'],1
['commissionn'],1
['commissionnaire-portefaix'],1
['compositeur'],1
['comptable dela commune de lausanne'],1
"['comptable,']",1
['cond. cff'],1
['cond. de trav'],1
['cond. d’autobus'],1
['cond. trams'],1
"['conduct', 'trams']",1
"['conduct, postepremier secours']",1
"['conduct, typo']",1
['conducteur-typo'],1
"['conducteurtrams,']",1
['conseil en publicité'],1
"['contre-inaîtrrmaçon,']",1
"['contremaître maçon', 'rose mousse']",1
"['contremaîtremaçon,']",1
['contrôleur dudépartement des travaux publics'],1
['contrôleurdes écoles'],1
['copiste'],1
"['cordonnier,']",1
['corsetière'],1
['coupeur fourreur'],1
['courtier'],1
['cout'],1
['coutur..'],1
['couvreur'],1
['cpl gendarm.'],1
['cpl gendarme'],1
"['cuisinière', ""l'anémone""]",1
['culottière'],1
['cultivateur'],1
['curé de st-joseph'],1
['cycles et motos'],1
['céramiste'],1
['dame de réception'],1
"['dame', 'articles divers']",1
"['dame', 'lingère']",1
"['dame', 'organiste']",1
"['dame', 'pension de demoiselles']",1
"['dame', 'professeur de piano']",1
"['dame', 'rent']",1
"['de lausanne,']",1
['de police'],1
"['demoiselle', 'maîtresse d’école particulière']",1
"['dessin, arch']",1
"['dessinat.-archit,']",1
"['dessinateur', 'la brune']",1
['diaconesse'],1
"['dir. ecole decommerce,']",1
['dir. imp.vaudoise'],1
"['direct, de l’orphelinat']",1
['directeur de l’institut desgardes-malades'],1
['directrice de l’asile «laretraite'],1
['dlle de magasin'],1
['docteur'],1
['domest.'],1
['dr ès sciences'],1
"['dr', '-', 'méd']",1
['décorateur'],1
['désinfecteur'],1
['emballeur'],1
['emjiloyé de bureau'],1
['emnl. commerce'],1
['emo. bur'],1
